UM_CODE;UM_NAMEF;global_id;UM_NAMES;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR
8880;1-й Ирининский переулок;58481065;1-й Ирининский пер.;Pervy'j Irininskij pereulok;2;;102;77000000000706300
8890;2-й Ирининский переулок;58481066;2-й Ирининский пер.;Vtoroj Irininskij pereulok;2;;102;77000000000362200
8891;3-й Ирининский переулок;58481067;3-й Ирининский пер.;Tretij Irininskij pereulok;2;;102;77000000000362300
8910;Иркутская улица;58481068;Иркутская ул.;Irkutskaya ulicza;1;;406;77000000000139700
8920;1-й Иртышский проезд;58481069;1-й Иртышский пр.;Pervy'j Irty'shskij proezd;3;;406;77000000000331600
8930;2-й Иртышский проезд;58481070;2-й Иртышский пр.;Vtoroj Irty'shskij proezd;3;;406;77000000000139800
8935;улица Исаковского;58481071;ул. Исаковского;ulicza Isakovskogo;1;;905;77000000000139900
8940;улица Искры;58481072;ул. Искры;ulicza Iskry';1;;303;77000000000140000
8950;проезд Воскресенские Ворота;58481073;пр. Воскресенские Ворота;proezd Voskresenskie Vorota;3;;108;77000000000702300
8960;Истринская улица;58481074;Истринская ул.;Istrinskaya ulicza;1;;807;77000000000140200
8970;1-я Кабельная улица;58481075;1-я Кабельная ул.;Pervaya Kabel`naya ulicza;1;;507;77000000000024300
8980;2-я Кабельная улица;58481076;2-я Кабельная ул.;Vtoraya Kabel`naya ulicza;1;;507;77000000000024400
8990;3-я Кабельная улица;58481077;3-я Кабельная ул.;Tret`ya Kabel`naya ulicza;1;;507;77000000000024500
9000;4-я Кабельная улица;58481078;4-я Кабельная ул.;Chetvyortaya Kabel`naya ulicza;1;;507;77000000000024600
9010;5-я Кабельная улица;58481079;5-я Кабельная ул.;Pyataya Kabel`naya ulicza;1;;507;77000000000024700
9020;1-й Кабельный проезд;58481080;1-й Кабельный пр.;Pervy'j Kabel`ny'j proezd;3;;507;77000000000024800
9030;2-й Кабельный проезд;58481081;2-й Кабельный пр.;Vtoroj Kabel`ny'j proezd;3;;507;77000000000024900
9035;площадь Амилкара Кабрала;58481082;пл. Амилкара Кабрала;ploshhad` Amilkara Kabrala;4;;404;77000000000351800
9040;Кавказский бульвар;58481083;Кавказский бульв.;Kavkazskij bul`var;8;;618;77000000000049100
9050;Кадашёвская набережная;58481084;Кадашёвская наб.;Kadashyovskaya naberezhnaya;5;;"0103;0110";77000000000140400
9060;1-й Кадашёвский переулок;58481085;1-й Кадашёвский пер.;Pervy'j Kadashyovskij pereulok;2;;110;77000000000140500
9070;2-й Кадашёвский переулок;58481086;2-й Кадашёвский пер.;Vtoroj Kadashyovskij pereulok;2;;110;77000000000140600
9071;3-й Кадашёвский переулок;58481087;3-й Кадашёвский пер.;Tretij Kadashyovskij pereulok;2;;110;77000000000140700
9080;Кадашёвский тупик;58481088;Кадашёвский туп.;Kadashyovskij tupik;7;;110;77000000000140800
9090;проезд Кадомцева;58481089;пр. Кадомцева;proezd Kadomczeva;3;;312;77000000000140900
9095;улица Кадырова;58481090;ул. Кадырова;ulicza Kady'rova;1;;711;77000000000731000
9100;улица Казакова;58481091;ул. Казакова;ulicza Kazakova;1;;102;77000000000141000
9110;Казанский переулок;58481092;Казанский пер.;Kazanskij pereulok;2;;110;77000000000141100
9120;1-й Казанский просек;58481093;1-й Казанский просек;Pervy'j Kazanskij prosek;14;;513;77000000000000600
9121;2-й Казанский просек;58481094;2-й Казанский просек;Vtoroj Kazanskij prosek;14;;513;77000000000432300
9140;Казарменный переулок;58481095;Казарменный пер.;Kazarmenny'j pereulok;2;;102;77000000000141200
9150;1-й Казачий переулок;58481096;1-й Казачий пер.;Pervy'j Kazachij pereulok;2;;110;77000000000141300
9160;2-й Казачий переулок;58481097;2-й Казачий пер.;Vtoroj Kazachij pereulok;2;;110;77000000000141400
9175;Малый Каковинский переулок;58481099;М. Каковинский пер.;Maly'j Kakovinskij pereulok;2;;101;77000000000141500
9180;Каланчёвская улица;58481100;Каланчёвская ул.;Kalanchyovskaya ulicza;1;;104;77000000000063600
9190;Каланчёвский тупик;58481101;Каланчёвский туп.;Kalanchyovskij tupik;7;;104;77000000000063700
9200;Калашный переулок;58481102;Калашный пер.;Kalashny'j pereulok;2;;"0101;0106";77000000000141600
9210;Калибровская улица;58481103;Калибровская ул.;Kalibrovskaya ulicza;1;;310;77000000000141700
9250;Большая Калитниковская улица;58481104;Б. Калитниковская ул.;Bol`shaya Kalitnikovskaya ulicza;1;;107;77000000000025100
9260;Малая Калитниковская улица;58481105;М. Калитниковская ул.;Malaya Kalitnikovskaya ulicza;1;;"0107;0510";77000000000141900
9270;Средняя Калитниковская улица;58481106;Ср. Калитниковская ул.;Srednyaya Kalitnikovskaya ulicza;1;;"0107;0510";77000000000025200
9280;Большой Калитниковский проезд;58481107;Б. Калитниковский пр.;Bol`shoj Kalitnikovskij proezd;3;;107;77000000000364500
9290;Малый Калитниковский проезд;58481108;М. Калитниковский пр.;Maly'j Kalitnikovskij proezd;3;;107;77000000000364600
9300;Калошин переулок;58481109;Калошин пер.;Kaloshin pereulok;2;;101;77000000000142100
9320;Малая Калужская улица;58481110;М. Калужская ул.;Malaya Kaluzhskaya ulicza;1;;610;77000000000142200
9330;Малый Калужский переулок;58481111;М. Калужский пер.;Maly'j Kaluzhskij pereulok;2;;610;77000000000364800
9340;Калмыков переулок;58481112;Калмыков пер.;Kalmy'kov pereulok;2;;105;77000000000364700
9350;Долгоруковская улица;58481113;Долгоруковская ул.;Dolgorukovskaya ulicza;1;;108;77000000000716200
9360;улица Каманина;58481114;ул. Каманина;ulicza Kamanina;1;;306;77000000000142500
9390;улица Большие Каменщики;58481115;ул. Б. Каменщики;ulicza Bol`shie Kamenshhiki;1;;107;77000000000142700
9400;улица Малые Каменщики;58481116;ул. М. Каменщики;ulicza Maly'e Kamenshhiki;1;;107;77000000000142800
9405;улица Камова;58481118;ул. Камова;ulicza Kamova;1;;409;77000000000039700
9410;Камчатская улица;58481119;Камчатская ул.;Kamchatskaya ulicza;1;;406;77000000000143000
9415;Канатчиковский проезд;58481120;Канатчиковский пр.;Kanatchikovskij proezd;3;;610;77000000000365000
9420;Кантемировская улица;58481121;Кантемировская ул.;Kantemirovskaya ulicza;1;;"0612;0618;0615";77000000000049200
9430;Капельский переулок;58481122;Капельский пер.;Kapel`skij pereulok;2;;105;77000000000143100
9440;улица Академика Капицы;58481123;ул. Академика Капицы;ulicza Akademika Kapiczy';1;;704;77000000000143200
9441;улица Сергея Капицы;58481124;ул. Сергея Капицы;ulicza Sergeya Kapiczy';1;;702;77000000000756500
9450;1-й Капотнинский проезд;58481125;1-й Капотнинский пр.;Pervy'j Kapotninskij proezd;3;;505;77000000000365100
9455;2-й Капотнинский проезд;58481126;2-й Капотнинский пр.;Vtoroj Kapotninskij proezd;3;;505;77000000000735100
